hotel,country,adults,children,babies,market_segment,distribution_channel,lead_time,is_canceled,reserved_room_type,assigned_room_type,booking_changes,stays_in_weekend_nights,stays_in_week_nights,average_daily_rate,year,month,quarter,day
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,86,0,A,A,0,0,1,79.5,2016,1,1,7
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,187,0,D,D,0,0,4,41.4,2016,1,1,10
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,85,0,D,D,2,0,4,47.4,2016,1,1,10
Resort Hotel,PRT,2,0.0,0,Direct,Direct,93,1,E,E,0,2,6,47.6,2016,11,4,12
Resort Hotel,PRT,2,0.0,0,Direct,Direct,93,1,G,G,0,2,6,73.1,2016,11,4,12
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,0,1,A,A,0,0,1,48.0,2016,1,1,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,143,1,A,A,0,1,3,38.4,2016,9,3,5
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,223,1,A,A,0,2,5,107.0,2016,6,2,26
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,117,1,A,A,0,2,5,33.08,2016,11,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,13,1,A,A,0,0,2,48.0,2016,12,4,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,24,1,A,A,1,0,2,48.0,2016,12,4,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,2,1,A,D,0,0,2,48.0,2016,1,1,8
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,59,0,A,A,0,0,2,29.0,2016,1,1,10
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,6,1,E,E,0,0,2,96.0,2016,1,1,4
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,11,1,A,A,0,1,2,29.0,2016,1,1,8
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,19,1,E,E,0,1,2,52.8,2016,1,1,6
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,19,1,A,A,0,1,2,52.8,2016,1,1,6
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,74,0,D,D,0,2,2,33.3,2016,1,1,12
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,169,0,E,E,0,2,3,50.4,2016,1,1,13
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,200,1,E,E,0,8,20,50.4,2016,9,3,21
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,1,1,A,A,0,0,1,39.0,2016,1,1,8
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,28,1,D,D,0,0,1,56.0,2016,1,1,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,110,1,A,A,0,2,1,36.45,2016,10,4,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,15,1,A,A,0,2,5,48.0,2016,12,4,30
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,103,1,G,G,0,2,6,77.4,2016,10,4,5
Resort Hotel,DEU,2,0.0,0,Offline TA/TO,TA/TO,87,0,A,A,0,4,10,26.1,2016,1,1,23
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,177,1,A,A,0,2,4,25.11,2016,9,3,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,6,1,A,A,0,2,3,48.0,2016,1,1,6
Resort Hotel,PRT,2,0.0,0,Direct,Direct,8,1,A,D,0,0,2,43.0,2016,1,1,12
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,99,1,D,D,0,2,10,41.4,2016,10,4,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,99,1,D,D,0,2,10,41.4,2016,1,1,12
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,172,0,A,A,0,8,20,25.92,2016,2,1,9
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,284,1,A,A,0,8,20,26.1,2016,9,3,12
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,122,1,A,A,0,12,30,22.11,2016,12,4,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,0,0,D,I,0,0,0,0.0,2016,1,1,13
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,15,1,A,A,0,0,4,39.0,2016,1,1,8
Resort Hotel,USA,2,0.0,0,Direct,Direct,23,0,E,E,0,0,1,48.0,2016,1,1,15
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,1,A,D,0,0,1,44.0,2016,1,1,15
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,34,1,D,D,0,0,2,44.8,2016,12,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,1,1,E,E,0,0,1,59.0,2016,1,1,16
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,7,1,D,D,0,2,5,57.6,2016,1,1,15
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,172,1,A,A,0,3,5,59.4,2016,9,3,21
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,172,1,A,A,0,3,5,29.16,2016,1,1,17
Resort Hotel,PRT,1,0.0,0,Complementary,TA/TO,12,1,F,F,0,1,0,0.0,2016,1,1,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,31,1,D,D,0,1,2,44.8,2016,12,4,26
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,3,1,A,A,0,0,1,39.0,2016,1,1,19
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,3,1,A,E,0,0,1,30.0,2016,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,34,1,D,D,0,0,3,44.8,2016,12,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,26,1,D,D,0,0,3,44.8,2016,12,4,29
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,3,1,A,D,0,0,1,38.0,2016,1,1,21
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,101,0,E,E,0,0,2,66.98,2016,1,1,24
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,3,1,A,D,0,0,1,43.0,2016,1,1,21
Resort Hotel,PRT,2,0.0,0,Direct,Direct,3,1,E,E,0,0,2,52.8,2016,1,1,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,13,1,D,D,0,2,4,44.8,2016,1,1,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,11,1,A,D,0,0,1,48.0,2016,1,1,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,1,1,E,F,0,0,1,96.0,2016,1,1,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,173,1,A,A,0,1,0,59.4,2016,8,3,10
Resort Hotel,PRT,2,0.0,0,Direct,Direct,14,1,E,E,0,1,2,61.0,2016,1,1,18
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,160,0,E,E,0,1,3,36.86,2016,1,1,29
Resort Hotel,KOR,2,0.0,0,Online TA,TA/TO,154,0,A,D,0,0,1,35.16,2016,1,1,27
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,4,1,A,A,0,0,1,38.0,2016,1,1,25
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,214,0,D,D,0,12,30,31.45,2016,3,1,8
Resort Hotel,KOR,2,0.0,0,Online TA,TA/TO,154,0,A,D,0,0,1,29.16,2016,1,1,27
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,5,1,A,D,0,0,1,39.0,2016,1,1,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,16,1,A,A,0,0,2,48.0,2016,1,1,16
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,2,1,A,A,0,0,1,30.0,2016,1,1,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,80,1,A,A,0,0,2,48.0,2016,12,4,26
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,33,1,A,A,0,0,3,39.0,2016,1,1,20
Resort Hotel,PRT,2,0.0,1,Online TA,TA/TO,185,1,A,A,0,2,3,32.4,2016,7,3,28
Resort Hotel,PRT,2,0.0,0,Direct,Direct,1,0,G,G,0,0,1,75.0,2016,1,1,30
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,48,1,A,A,0,0,2,55.0,2016,1,1,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,157,1,F,F,0,2,5,88.2,2016,1,1,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,15,1,A,A,0,0,1,48.0,2016,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,22,1,E,E,0,2,2,52.8,2016,1,1,11
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,3,1,A,D,0,1,0,39.0,2016,2,1,1
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,0,0,A,D,0,1,0,39.0,2016,2,1,2
Resort Hotel,PRT,2,0.0,0,Direct,Direct,13,1,E,E,1,1,0,67.0,2016,1,1,27
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,11,1,A,D,0,1,3,27.0,2016,1,1,25
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,28,1,D,D,0,1,3,46.4,2016,1,1,11
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,101,0,A,A,0,2,5,43.2,2016,2,1,8
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,202,1,A,A,1,0,3,27.9,2016,11,4,11
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,133,1,A,A,0,5,15,24.94,2016,1,1,21
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,4,1,E,E,0,0,2,68.0,2016,1,1,30
Resort Hotel,GBR,2,0.0,0,Direct,Direct,116,0,F,F,0,0,4,56.1,2016,2,1,7
Resort Hotel,PRT,2,0.0,0,Direct,Direct,100,1,F,F,0,0,4,56.1,2016,10,4,26
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,97,0,F,F,0,0,4,50.54,2016,2,1,7
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,39,1,A,A,0,2,5,55.0,2016,1,1,12
Resort Hotel,PRT,1,0.0,0,Direct,Direct,46,1,A,A,0,7,19,30.0,2016,1,1,15
Resort Hotel,PRT,2,0.0,0,Direct,Direct,46,1,A,A,1,7,19,38.0,2016,1,1,15
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,20,1,A,A,0,0,1,39.0,2016,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,142,1,E,E,0,0,3,50.4,2016,1,1,20
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,17,1,A,A,0,0,3,54.67,2016,1,1,19
Resort Hotel,PRT,2,1.0,0,Online TA,TA/TO,26,1,G,G,0,1,3,87.0,2016,1,1,11
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,83,1,G,G,0,1,3,98.0,2016,1,1,9
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,99,1,A,A,0,4,8,38.88,2016,12,4,25
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,13,1,A,A,0,0,2,53.0,2016,1,1,28
Resort Hotel,PRT,2,1.0,0,Offline TA/TO,TA/TO,2,1,A,C,0,0,2,36.25,2016,2,1,5
Resort Hotel,PRT,2,1.0,0,Online TA,TA/TO,18,1,A,D,1,1,2,69.67,2016,2,1,3
Resort Hotel,ESP,2,0.0,0,Offline TA/TO,TA/TO,88,0,A,D,0,2,2,26.0,2016,2,1,9
Resort Hotel,ESP,2,0.0,0,Offline TA/TO,TA/TO,88,0,A,D,0,2,2,26.0,2016,2,1,9
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,18,1,A,A,0,2,5,56.57,2016,1,1,26
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,211,0,E,E,1,2,6,72.55,2016,2,1,13
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,29,1,A,A,0,2,1,48.0,2016,1,1,19
Resort Hotel,PRT,2,0.0,0,Groups,Direct,72,1,D,D,0,2,1,73.33,2016,1,1,19
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,12,1,C,C,0,2,1,78.0,2016,1,1,25
Resort Hotel,PRT,3,1.0,0,Online TA,TA/TO,22,1,H,H,0,2,1,118.0,2016,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,155,1,A,A,1,2,2,59.4,2016,1,1,4
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,94,0,A,A,0,2,2,28.1,2016,2,1,10
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,94,0,A,A,0,2,2,28.1,2016,2,1,10
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,81,1,A,A,0,2,5,70.2,2016,1,1,18
Resort Hotel,DNK,2,0.0,0,Online TA,TA/TO,168,0,E,E,0,2,5,36.86,2016,2,1,13
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,120,1,E,E,0,4,6,50.4,2016,1,1,4
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,8,1,A,A,0,4,10,25.0,2016,2,1,2
Resort Hotel,PRT,1,0.0,0,Direct,Direct,4,1,A,A,0,2,1,39.0,2016,2,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,111,1,D,D,0,1,0,41.4,2016,11,4,11
Resort Hotel,CHN,2,0.0,0,Online TA,TA/TO,143,0,D,D,0,1,1,41.4,2016,2,1,10
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,102,1,A,A,0,1,2,50.0,2016,2,1,2
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,5,1,G,G,0,1,3,98.0,2016,2,1,8
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,117,0,D,D,0,1,3,43.4,2016,2,1,12
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,152,0,D,G,1,1,3,67.88,2016,2,1,12
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,32,1,E,E,0,1,4,53.44,2016,1,1,12
Resort Hotel,FRA,2,0.0,0,Groups,TA/TO,103,0,A,A,0,0,2,50.0,2016,2,1,11
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,103,1,A,A,0,0,2,50.0,2016,1,1,16
Resort Hotel,FRA,2,0.0,0,Groups,TA/TO,103,0,A,A,0,0,2,50.0,2016,2,1,11
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,103,0,A,A,0,0,2,50.0,2016,2,1,11
Resort Hotel,FRA,2,0.0,0,Groups,TA/TO,103,0,A,A,0,0,2,52.0,2016,2,1,11
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,312,1,A,A,0,4,10,26.1,2016,9,3,12
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,2,0,A,D,0,0,1,30.0,2016,2,1,11
Resort Hotel,NLD,2,0.0,0,Online TA,TA/TO,103,0,E,E,0,0,2,61.2,2016,2,1,12
Resort Hotel,NLD,2,0.0,0,Online TA,TA/TO,103,0,E,E,0,0,3,67.2,2016,2,1,13
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,39,1,A,A,0,1,4,55.0,2016,1,1,27
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,39,1,A,A,0,1,4,55.0,2016,1,1,27
Resort Hotel,NLD,1,0.0,0,Online TA,TA/TO,103,0,A,D,0,2,4,35.1,2016,2,1,16
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,7,1,A,A,0,0,1,30.0,2016,2,1,4
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,64,1,A,A,0,1,3,29.0,2016,12,4,30
Resort Hotel,PRT,1,0.0,0,Groups,TA/TO,64,1,A,A,0,1,3,0.0,2016,12,4,30
Resort Hotel,PRT,1,0.0,0,Groups,TA/TO,64,1,A,A,0,1,3,25.0,2016,12,4,30
Resort Hotel,PRT,3,1.0,0,Online TA,TA/TO,27,1,H,H,1,0,3,118.0,2016,2,1,11
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,230,0,E,E,0,2,3,46.8,2016,2,1,16
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,0,1,E,E,0,2,3,40.32,2016,2,1,11
Resort Hotel,PRT,3,0.0,0,Offline TA/TO,TA/TO,2,1,D,D,0,0,1,49.95,2016,2,1,12
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,88,1,A,A,0,0,2,68.0,2016,2,1,5
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,111,1,A,A,0,0,2,70.0,2016,1,1,26
Resort Hotel,ESP,2,0.0,0,Groups,TA/TO,112,0,A,A,0,0,2,70.0,2016,2,1,14
Resort Hotel,ESP,3,0.0,0,Groups,TA/TO,112,0,A,C,1,0,2,94.5,2016,2,1,14
Resort Hotel,ESP,1,0.0,0,Groups,TA/TO,112,0,A,A,1,0,2,55.0,2016,2,1,14
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,112,1,A,A,0,0,2,68.0,2016,2,1,5
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,140,1,A,A,0,0,2,50.0,2016,12,4,11
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,35,1,A,A,0,0,2,48.0,2016,1,1,20
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,112,1,A,A,0,0,2,68.0,2016,2,1,10
Resort Hotel,ESP,1,0.0,0,Groups,TA/TO,112,0,A,A,1,0,2,0.0,2016,2,1,14
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,151,1,A,A,0,0,2,32.4,2016,2,1,2
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,25,1,D,D,0,0,2,98.0,2016,1,1,28
Resort Hotel,ESP,2,0.0,0,Groups,TA/TO,112,0,A,A,0,0,2,70.0,2016,2,1,14
Resort Hotel,PRT,2,0.0,0,Groups,TA/TO,140,1,A,A,0,0,2,50.0,2016,12,4,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,7,1,A,A,0,1,2,82.0,2016,2,1,8
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,47,1,A,A,0,1,2,48.0,2016,1,1,19
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,230,0,D,D,0,1,2,31.88,2016,2,1,15
Resort Hotel,PRT,2,0.0,0,Direct,Direct,32,1,F,F,0,0,1,78.0,2016,2,1,10
Resort Hotel,PRT,2,0.0,0,Direct,Direct,1,1,A,E,0,0,1,75.0,2016,2,1,13
Resort Hotel,PRT,2,1.0,0,Direct,Direct,0,1,G,G,0,0,1,107.0,2016,2,1,13
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,38,1,A,A,0,0,1,58.0,2016,1,1,16
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,25,1,A,D,0,0,1,29.0,2016,2,1,11
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,14,1,E,E,0,1,1,68.0,2016,2,1,1
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,203,0,A,A,0,2,5,23.7,2016,2,1,20
Resort Hotel,FRA,2,0.0,0,Offline TA/TO,TA/TO,101,0,D,D,0,2,5,26.0,2016,2,1,20
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,161,1,G,G,0,6,15,77.4,2016,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,20,1,A,A,0,1,0,58.0,2016,1,1,27
Resort Hotel,BRA,1,0.0,0,Online TA,TA/TO,103,0,A,D,0,1,0,45.0,2016,2,1,15
Resort Hotel,PRT,2,0.0,0,Direct,Direct,3,1,A,D,0,1,0,75.0,2016,2,1,14
Resort Hotel,PRT,2,0.0,0,Direct,Direct,4,1,A,D,0,1,0,55.0,2016,2,1,13
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,18,1,A,A,0,2,1,29.0,2016,2,1,6
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,41,1,D,D,0,2,2,46.4,2016,1,1,14
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,46,1,A,A,0,2,2,29.0,2016,1,1,25
Resort Hotel,PRT,3,1.0,0,Online TA,TA/TO,41,1,H,H,0,2,2,86.4,2016,1,1,14
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,72,1,H,H,0,2,2,98.0,2016,1,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,109,1,D,D,0,2,2,52.2,2016,11,4,2
Resort Hotel,HUN,2,1.0,0,Online TA,TA/TO,117,0,A,C,1,2,4,61.5,2016,2,1,20
Resort Hotel,Unknown,0,0.0,0,Offline TA/TO,TA/TO,0,1,P,P,0,0,0,0.0,2016,2,1,15
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,200,1,A,A,0,1,0,29.16,2016,12,4,4
Resort Hotel,POL,2,0.0,0,Offline TA/TO,TA/TO,133,0,A,A,0,1,1,26.1,2016,2,1,17
Resort Hotel,POL,2,0.0,0,Offline TA/TO,TA/TO,133,0,A,A,0,1,1,26.1,2016,2,1,17
Resort Hotel,GBR,2,2.0,0,Online TA,TA/TO,41,1,G,G,0,1,3,76.0,2016,2,1,15
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,192,1,E,E,0,1,5,50.4,2016,8,3,17
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,192,0,E,E,0,1,5,50.4,2016,2,1,21
Resort Hotel,GBR,2,1.0,0,Online TA,TA/TO,188,0,G,G,1,1,5,59.6,2016,2,1,21
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,38,1,D,D,0,2,5,44.8,2016,2,1,11
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,118,1,A,A,0,3,6,26.1,2016,11,4,10
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,232,0,E,E,0,2,6,38.81,2016,2,1,24
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,99,0,D,D,0,2,7,33.3,2016,2,1,25
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,131,0,E,F,0,0,2,56.4,2016,2,1,19
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,53,1,G,G,0,0,4,98.0,2016,12,4,31
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,72,1,E,E,0,0,3,68.0,2016,12,4,20
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,44,1,A,A,0,2,6,48.0,2016,2,1,1
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,33,1,H,H,0,0,1,86.0,2016,1,1,25
Resort Hotel,PRT,2,0.0,0,Direct,Direct,14,1,F,F,0,0,2,68.0,2016,2,1,19
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,69,1,E,E,0,0,2,54.4,2016,2,1,1
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,21,1,A,D,0,0,2,48.0,2016,2,1,19
Resort Hotel,PRT,2,0.0,0,Direct,Direct,35,1,E,E,0,0,2,99.0,2016,2,1,19
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,2,1,A,D,0,0,2,80.0,2016,2,1,18
Resort Hotel,PRT,3,0.0,0,Direct,Direct,34,1,A,C,1,2,3,118.0,2016,2,1,19
Resort Hotel,NLD,1,0.0,0,Offline TA/TO,TA/TO,150,0,A,A,0,2,5,23.93,2016,2,1,26
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,172,0,E,E,0,2,5,83.9,2016,2,1,26
Resort Hotel,NLD,1,0.0,0,Offline TA/TO,TA/TO,150,0,A,A,0,2,5,22.5,2016,2,1,26
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,10,1,A,A,0,0,2,29.0,2016,2,1,10
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,29,1,A,A,1,0,1,78.0,2016,1,1,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,1,1,E,E,0,0,1,52.36,2016,2,1,20
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,5,1,A,D,0,0,1,80.0,2016,2,1,20
Resort Hotel,PRT,2,1.0,0,Online TA,TA/TO,26,1,A,A,0,0,1,63.0,2016,2,1,4
Resort Hotel,PRT,2,0.0,0,Direct,Direct,100,1,D,D,0,2,1,38.32,2016,2,1,8
Resort Hotel,IRL,2,0.0,0,Direct,Direct,100,0,D,D,0,2,1,38.32,2016,2,1,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,55,1,D,D,0,2,5,58.0,2016,1,1,4
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,108,0,E,E,0,4,10,63.9,2016,3,1,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,31,1,D,D,0,2,1,56.0,2016,2,1,17
Resort Hotel,PRT,3,1.0,0,Online TA,TA/TO,38,1,H,H,0,2,3,68.8,2016,2,1,10
Resort Hotel,PRT,3,1.0,0,Online TA,TA/TO,11,1,H,H,1,2,4,151.0,2016,2,1,10
