hotel,country,adults,children,babies,market_segment,distribution_channel,lead_time,is_canceled,reserved_room_type,assigned_room_type,booking_changes,stays_in_weekend_nights,stays_in_week_nights,average_daily_rate,year,month,quarter,day
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,42,1,D,D,0,0,1,62.0,2017,12,4,26
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,86,1,D,D,0,1,1,56.4,2017,10,4,22
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,23,1,A,A,0,2,1,48.0,2017,12,4,20
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,36,1,A,A,0,2,1,44.0,2017,12,4,20
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,66,1,A,A,0,2,2,42.0,2017,11,4,14
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,140,1,A,C,1,2,5,37.8,2017,12,4,30
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,113,1,A,A,0,1,0,42.0,2017,10,4,5
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,102,1,E,E,0,2,3,55.8,2017,12,4,18
Resort Hotel,ESP,2,0.0,0,Direct,Direct,52,1,A,A,0,2,3,67.8,2017,11,4,19
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,85,1,A,A,0,2,5,42.0,2017,11,4,11
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,125,1,E,E,0,1,2,55.8,2017,10,4,21
Resort Hotel,IRL,1,0.0,0,Online TA,TA/TO,161,1,A,A,0,2,5,37.8,2017,8,3,2
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,161,1,A,A,0,2,5,37.8,2017,8,3,2
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,154,1,A,A,0,2,5,37.8,2017,8,3,8
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,1,G,G,0,0,1,0.0,2017,1,1,10
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,322,1,A,A,0,16,40,25.5,2017,10,4,31
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,1,1,A,A,0,0,1,41.0,2017,1,1,10
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,0,1,A,D,0,0,1,48.0,2017,1,1,11
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,2,1,A,D,0,0,1,39.0,2017,1,1,10
Resort Hotel,PRT,2,0.0,0,Complementary,TA/TO,1,1,A,D,0,0,2,0.0,2017,1,1,11
Resort Hotel,CHE,2,0.0,0,Online TA,TA/TO,5,1,A,A,0,0,2,78.0,2017,1,1,7
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,35,1,E,E,1,0,2,62.0,2017,1,1,10
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,37,1,A,A,0,0,3,42.0,2017,12,4,16
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,58,1,A,A,0,4,10,42.0,2017,11,4,20
Resort Hotel,GBR,1,0.0,0,Online TA,TA/TO,60,1,A,A,0,0,3,37.0,2017,1,1,10
Resort Hotel,GBR,2,0.0,0,Direct,Direct,129,1,A,A,0,2,3,47.8,2017,9,3,8
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,84,1,A,A,0,4,12,33.31,2017,1,1,12
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,115,1,A,A,0,2,6,37.8,2017,1,1,10
Resort Hotel,ESP,2,0.0,0,Direct,Direct,78,1,F,F,0,0,2,54.27,2017,1,1,11
Resort Hotel,PRT,2,0.0,0,Direct,Direct,10,1,A,A,0,0,2,44.0,2017,1,1,4
Resort Hotel,GBR,1,0.0,0,Online TA,TA/TO,82,1,A,A,0,1,2,37.0,2017,10,4,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,11,1,A,A,0,0,1,78.0,2017,1,1,4
Resort Hotel,PRT,2,1.0,0,Online TA,TA/TO,8,1,D,D,1,0,1,75.5,2017,1,1,7
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,18,1,E,E,0,1,1,68.0,2017,1,1,1
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,22,1,F,F,2,1,1,69.35,2017,1,1,10
Resort Hotel,GBR,2,2.0,0,Online TA,TA/TO,33,1,G,G,0,2,1,82.0,2017,12,4,12
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,108,1,E,E,0,2,1,55.8,2017,9,3,30
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,87,1,A,A,0,2,1,46.43,2017,10,4,19
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,275,1,D,D,0,2,1,51.3,2017,9,3,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,87,1,A,A,0,2,1,33.6,2017,10,4,19
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,106,1,E,E,1,2,1,55.8,2017,11,4,27
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,45,1,A,A,0,2,5,42.0,2017,11,4,30
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,45,1,A,A,0,2,5,37.8,2017,12,4,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,90,1,A,A,0,2,1,29.11,2017,10,4,19
Resort Hotel,NLD,2,0.0,0,Online TA,TA/TO,242,1,A,A,0,4,10,37.8,2017,5,2,20
Resort Hotel,IRL,3,1.0,0,Online TA,TA/TO,19,1,H,H,0,2,2,93.0,2017,12,4,27
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,18,1,A,F,1,1,0,35.0,2017,1,1,16
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,281,1,A,A,0,1,1,48.0,2017,4,2,14
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,0,1,2,55.0,2017,1,1,14
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,0,1,2,55.0,2017,1,1,13
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,0,1,2,55.0,2017,1,1,5
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,1,1,2,55.0,2017,1,1,13
Resort Hotel,PRT,1,0.0,0,Groups,Direct,27,1,A,C,0,1,2,55.0,2017,1,1,14
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,0,1,2,55.0,2017,1,1,4
Resort Hotel,PRT,1,0.0,0,Groups,Direct,17,1,A,A,0,1,2,55.0,2017,1,1,3
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,D,1,1,2,55.0,2017,1,1,11
Resort Hotel,PRT,1,0.0,0,Groups,Direct,0,1,A,E,0,1,2,55.0,2017,1,1,16
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,1,1,2,55.0,2017,1,1,10
Resort Hotel,PRT,1,0.0,0,Groups,Direct,40,1,A,A,0,1,2,55.0,2017,1,1,6
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,5,1,A,C,1,0,1,35.0,2017,1,1,17
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,1,A,A,0,0,1,8.0,2017,1,1,17
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,16,1,D,D,0,0,1,42.43,2017,1,1,5
Resort Hotel,PRT,1,0.0,0,Groups,Direct,1,1,A,H,1,0,2,55.0,2017,1,1,17
Resort Hotel,PRT,1,0.0,0,Groups,Direct,41,1,A,D,1,0,2,55.0,2017,1,1,17
Resort Hotel,POL,2,0.0,0,Online TA,TA/TO,134,1,H,H,0,2,4,87.0,2017,9,3,6
Resort Hotel,PRT,2,0.0,0,Direct,Direct,1,1,A,A,0,3,9,8.0,2017,1,1,17
Resort Hotel,PRT,1,0.0,0,Groups,TA/TO,3,1,A,D,0,0,1,30.0,2017,1,1,17
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,41,1,A,A,1,0,2,57.6,2017,12,4,24
Resort Hotel,POL,2,2.0,0,Online TA,TA/TO,135,1,G,G,3,2,4,82.0,2017,12,4,22
Resort Hotel,POL,2,2.0,0,Online TA,TA/TO,123,1,G,G,0,2,5,82.0,2017,9,3,18
Resort Hotel,PRT,2,0.0,0,Direct,Direct,3,1,E,E,1,0,1,60.0,2017,1,1,20
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,128,1,A,A,0,0,2,42.0,2017,9,3,19
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,47,1,A,A,0,0,2,42.0,2017,12,4,9
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,128,1,A,A,0,0,2,54.0,2017,11,4,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,10,1,A,A,0,0,2,48.0,2017,1,1,11
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,123,1,A,A,0,0,2,37.8,2017,12,4,8
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,72,1,D,D,0,1,2,62.0,2017,12,4,22
Resort Hotel,BEL,2,0.0,0,Online TA,TA/TO,86,1,A,A,0,2,2,42.0,2017,11,4,8
Resort Hotel,PRT,2,1.0,0,Online TA,TA/TO,12,1,A,A,1,0,1,65.5,2017,1,1,16
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,43,1,D,D,0,2,5,52.0,2017,12,4,11
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,15,1,D,D,0,2,2,58.0,2017,1,1,7
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,124,1,A,A,0,2,5,37.8,2017,9,3,26
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,44,1,A,A,0,2,5,42.0,2017,12,4,9
Resort Hotel,TUR,2,2.0,0,Online TA,TA/TO,103,1,G,G,0,4,9,86.0,2017,12,4,13
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,8,1,A,A,0,1,0,43.0,2017,1,1,16
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,5,1,A,D,0,1,1,35.0,2017,1,1,20
Resort Hotel,AUS,2,0.0,0,Online TA,TA/TO,160,1,E,E,0,1,4,55.8,2017,8,3,20
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,13,1,D,D,0,0,1,88.0,2017,1,1,12
Resort Hotel,PRT,1,0.0,0,Direct,Direct,6,1,A,A,0,0,2,35.0,2017,1,1,20
Resort Hotel,LUX,3,1.0,0,Online TA,TA/TO,54,1,H,H,0,1,5,87.0,2017,12,4,1
Resort Hotel,PRT,1,0.0,0,Corporate,Corporate,0,0,A,A,0,0,1,35.0,2017,1,1,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,33,1,D,D,0,0,2,58.0,2017,1,1,5
Resort Hotel,DZA,1,0.0,0,Online TA,TA/TO,77,1,A,A,0,3,9,37.0,2017,11,4,9
Resort Hotel,FRA,1,0.0,0,Online TA,TA/TO,58,1,D,D,0,0,2,72.0,2017,11,4,30
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,65,1,A,A,0,2,3,72.0,2017,12,4,15
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,281,1,A,A,0,2,5,37.8,2017,5,2,24
Resort Hotel,GBR,2,2.0,0,Online TA,TA/TO,27,1,H,H,1,0,2,93.0,2017,12,4,31
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,24,1,A,D,0,0,2,48.0,2017,1,1,23
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,30,1,D,D,0,0,2,78.0,2017,1,1,12
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,27,1,A,A,1,0,2,48.0,2017,12,4,31
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,24,1,A,A,0,0,2,48.0,2017,1,1,11
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,124,1,E,E,0,0,2,55.8,2017,10,4,25
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,43,1,A,A,0,1,2,48.0,2017,1,1,5
Resort Hotel,PRT,1,0.0,0,Groups,Corporate,16,1,A,A,5,1,2,35.0,2017,1,1,27
Resort Hotel,CN,1,0.0,0,Online TA,TA/TO,73,1,A,A,0,8,21,37.83,2017,11,4,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,78,1,A,A,0,0,1,42.0,2017,1,1,17
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,16,1,A,A,0,0,1,78.0,2017,1,1,12
Resort Hotel,PRT,1,0.0,0,Groups,Corporate,17,1,A,A,0,0,1,32.0,2017,1,1,28
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,94,1,A,A,0,0,1,42.0,2017,10,4,27
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,2,1,E,E,0,0,1,76.0,2017,1,1,28
Resort Hotel,PRT,2,0.0,0,Groups,Corporate,17,1,A,A,0,0,1,36.0,2017,1,1,11
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,9,1,A,A,0,0,1,48.0,2017,1,1,19
Resort Hotel,PRT,2,1.0,0,Direct,Direct,3,1,D,E,0,0,1,70.0,2017,1,1,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,33,1,A,A,0,0,1,48.0,2017,12,4,30
Resort Hotel,PRT,2,0.0,0,Complementary,Direct,18,1,G,G,0,0,1,0.0,2017,1,1,28
Resort Hotel,PRT,2,0.0,0,Direct,Direct,4,1,D,D,0,0,1,55.0,2017,1,1,28
Resort Hotel,PRT,2,0.0,0,Complementary,Direct,4,1,F,F,0,0,1,0.0,2017,1,1,27
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,209,1,A,A,0,1,1,37.8,2017,7,3,29
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,5,1,A,D,0,0,1,48.0,2017,1,1,28
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,3,1,A,A,0,1,1,52.0,2017,1,1,25
Resort Hotel,GBR,2,0.0,0,Direct,Direct,219,1,E,E,1,2,2,50.22,2017,1,1,6
Resort Hotel,DEU,2,0.0,0,Direct,Direct,60,1,E,E,2,2,5,61.8,2017,12,4,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,178,1,E,E,0,8,20,55.8,2017,10,4,23
Resort Hotel,DEU,1,0.0,0,Online TA,TA/TO,11,1,D,D,0,2,3,58.0,2017,1,1,24
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,84,1,A,A,4,2,5,72.0,2017,11,4,11
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,82,1,A,A,0,2,5,72.0,2017,11,4,8
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,125,1,A,B,1,2,5,37.8,2017,9,3,27
Resort Hotel,DEU,2,2.0,0,Online TA,TA/TO,79,1,G,G,0,2,4,82.0,2017,12,4,5
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,12,1,D,D,0,1,1,55.1,2017,1,1,29
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,12,1,G,G,0,1,1,83.6,2017,1,1,29
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,12,1,A,A,0,1,1,48.0,2017,1,1,18
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,72,1,E,E,0,1,1,45.36,2017,12,4,18
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,15,1,A,A,0,1,2,78.0,2017,1,1,17
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,71,1,D,D,3,1,2,78.0,2017,12,4,25
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,17,1,A,A,0,1,2,78.0,2017,1,1,15
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,36,1,A,A,2,1,2,48.0,2017,1,1,13
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,292,1,E,E,0,0,4,55.8,2017,1,1,3
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,106,1,A,A,1,0,4,56.24,2017,11,4,15
Resort Hotel,GBR,2,2.0,0,Online TA,TA/TO,20,1,G,G,0,2,5,88.0,2017,1,1,11
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,186,1,A,A,0,2,5,37.8,2017,1,1,5
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,76,1,A,A,0,0,1,42.0,2017,11,4,21
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,11,1,A,A,0,0,2,48.0,2017,1,1,21
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,0,1,D,D,0,2,6,59.0,2017,2,1,1
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,123,1,A,A,0,4,10,37.8,2017,12,4,24
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,85,1,A,A,1,0,4,72.0,2017,11,4,13
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,1,A,D,0,0,2,55.0,2017,2,1,2
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,2,1,A,A,0,0,2,48.0,2017,1,1,31
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,169,1,A,A,0,0,3,37.8,2017,11,4,13
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,169,1,A,A,0,0,3,37.8,2017,11,4,13
Resort Hotel,GBR,1,0.0,0,Online TA,TA/TO,81,1,A,A,4,0,3,37.0,2017,1,1,14
Resort Hotel,GBR,1,0.0,0,Online TA,TA/TO,110,1,A,A,0,0,3,37.0,2017,12,4,22
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,0,1,A,A,0,0,1,43.0,2017,2,1,2
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,2,1,A,A,0,0,1,34.4,2017,2,1,3
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,21,1,D,D,0,1,2,78.0,2017,1,1,17
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,31,1,A,A,0,2,2,43.0,2017,1,1,3
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,98,1,D,D,6,2,4,67.33,2017,1,1,25
Resort Hotel,DEU,2,0.0,0,Online TA,TA/TO,166,1,D,D,2,2,5,51.3,2017,8,3,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,28,1,A,A,0,1,2,48.0,2017,1,1,7
Resort Hotel,BRA,1,0.0,0,Online TA,TA/TO,31,1,D,D,0,2,2,58.0,2017,1,1,3
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,1,A,A,0,0,1,48.0,2017,2,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,1,1,E,E,0,0,1,68.0,2017,2,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,1,1,A,A,0,0,1,48.0,2017,2,1,4
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,1,1,A,A,0,0,1,43.0,2017,2,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,29,1,A,A,0,1,1,74.1,2017,1,1,19
Resort Hotel,FRA,1,0.0,0,Online TA,TA/TO,83,1,A,A,0,2,2,42.0,2017,1,1,6
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,83,1,A,A,0,2,2,37.0,2017,1,1,6
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,111,1,A,A,0,2,5,42.0,2017,10,4,27
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,54,1,E,E,0,2,5,68.0,2017,12,4,13
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,85,1,A,A,0,2,5,29.0,2017,1,1,18
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,200,1,E,E,0,2,5,45.0,2017,8,3,1
Resort Hotel,ITA,2,0.0,0,Online TA,TA/TO,135,1,A,A,0,4,7,37.8,2017,12,4,1
Resort Hotel,BEL,2,0.0,0,Online TA,TA/TO,131,1,E,E,0,8,20,82.8,2017,9,3,26
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,3,1,A,A,0,2,0,54.0,2017,2,1,2
Resort Hotel,NLD,2,0.0,0,Online TA,TA/TO,80,1,D,D,0,2,0,52.0,2017,11,4,18
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,145,1,A,A,0,2,3,42.0,2017,9,3,13
Resort Hotel,MOZ,2,0.0,0,Online TA,TA/TO,40,1,E,E,0,4,7,68.0,2017,1,1,17
Resort Hotel,KOR,2,0.0,0,Online TA,TA/TO,102,1,E,E,1,1,0,62.0,2017,12,4,9
Resort Hotel,PRT,1,0.0,0,Complementary,Direct,0,1,D,E,0,1,0,0.0,2017,2,1,6
Resort Hotel,KOR,3,1.0,0,Online TA,TA/TO,102,1,H,H,1,1,0,93.0,2017,12,4,9
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,95,1,D,D,1,1,1,62.0,2017,11,4,3
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,35,1,A,A,1,1,3,48.0,2017,1,1,2
Resort Hotel,ROU,2,0.0,0,Online TA,TA/TO,170,1,A,A,0,1,3,37.8,2017,9,3,15
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,125,1,E,E,0,1,4,55.8,2017,10,4,25
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,307,1,E,E,0,2,5,68.0,2017,2,1,6
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,298,1,D,D,0,2,5,34.11,2017,2,1,6
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,348,1,E,E,0,0,3,41.4,2017,7,3,28
Resort Hotel,FRA,3,1.0,0,Online TA,TA/TO,55,1,H,H,0,2,5,141.0,2017,12,4,14
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,55,1,D,D,0,2,5,88.0,2017,12,4,14
Resort Hotel,GBR,2,2.0,0,Online TA,TA/TO,94,1,G,G,0,2,5,84.57,2017,1,1,26
Resort Hotel,CN,2,0.0,0,Direct,Direct,77,1,A,A,0,0,3,33.26,2017,11,4,28
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,8,1,A,D,0,0,3,48.0,2017,2,1,7
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,35,1,D,D,0,0,4,58.0,2017,1,1,5
Resort Hotel,CN,2,0.0,0,Online TA,TA/TO,11,1,A,A,0,1,4,48.0,2017,1,1,28
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,135,1,E,E,0,4,10,45.0,2017,2,1,8
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,98,1,D,D,0,6,15,37.8,2017,1,1,19
